game[69] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -1} media=0.0
game[70] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -1} media=74.8
game[71] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -1} media=52.8
game[72] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -1} media=0.8
game[73] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -1} media=59.0
game[74] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -1} media=56.4
game[75] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -1} media=25.2
game[76] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -1} media=44.0
game[77] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -1} media=55.8
game[78] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': 0.0, 'e': -1} media=28.6
game[79] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -1} media=80.8
game[80] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -1} media=70.4
game[81] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': 0.0, 'e': -1} media=28.2
game[82] stats={'a': -1, 'b': 0, 'c': -1, 'd': -1, 'e': -0.5} media=23.2
game[83] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -1, 'e': -0.5} media=1.6
game[84] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -1, 'e': -0.5} media=0.0
game[85] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -1, 'e': -0.5} media=77.2
game[86] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -1, 'e': -0.5} media=12.0
game[87] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -1, 'e': -0.5} media=0.0
game[88] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -1, 'e': -0.5} media=94.0
game[89] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -1, 'e': -0.5} media=17.0
game[90] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -1, 'e': -0.5} media=0.0
game[91] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -1, 'e': -0.5} media=72.0
game[92] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -1, 'e': -0.5} media=42.8
game[93] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -1, 'e': -0.5} media=0.2
game[94] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -0.5} media=21.8
game[95] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -0.5} media=45.0
game[96] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -1, 'e': -0.5} media=1.8
game[97] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -0.5} media=45.4
game[98] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -0.5} media=68.8
game[99] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': -1, 'e': -0.5} media=1.0
game[100] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': -1, 'e': -0.5} media=48.4
game[101] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': -1, 'e': -0.5} media=36.6
game[102] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': -1, 'e': -0.5} media=28.6
game[103] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -0.5} media=45.2
game[104] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -0.5} media=71.0
game[105] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': -1, 'e': -0.5} media=29.6
game[106] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -0.5} media=21.6
game[107] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -0.5} media=49.0
game[108] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': -1, 'e': -0.5} media=32.0
